,precision,recall,f1-score,support
high,0.5362709255339619,0.17403521918321468,0.2627881759464429,16014.0
low,0.6155298465493694,0.9189940225105455,0.7372557195897452,50021.0
medium,0.5646094503375121,0.2672702373706634,0.36280078488071876,26288.0
accuracy,0.6042048027035517,0.6042048027035517,0.6042048027035517,0.6042048027035517
macro avg,0.5721367408069478,0.4534331596881412,0.4542815601389689,92323.0
weighted avg,0.5872828470285778,0.6042048027035517,0.548334274581083,92323.0
