dataset,model,f1_score,accuracy,precision,recall
Heart Rate Prediction to Monitor Stress Level,Random Forest,0.9465718855602723,0.9466221851542952,0.9465448571011287,0.9466221851542952
Nurse Stress Prediction Wearable Sensors,Random Forest,0.7457045094121628,0.7599008113248429,0.7393638620343699,0.7599008113248429
SWELL Dataset,XGBoost,0.7487888826518713,0.7542107600489586,0.7505318738742621,0.7542107600489586
Stress Predict,Random Forest,0.8082864649509015,0.8125044455508926,0.8083557592424371,0.8125044455508926
