,precision,recall,f1-score,support
0,0.6762864837324405,0.9824997356455536,0.801129505087084,18914.0
1,0.4828125,0.033572359843546284,0.06277935798455912,9204.0
accuracy,0.6718827797140622,0.6718827797140622,0.6718827797140622,0.6718827797140622
macro avg,0.5795494918662203,0.5080360477445499,0.4319544315358216,28118.0
weighted avg,0.6129557153181371,0.6718827797140622,0.5594418048974675,28118.0
